field,field_name,region,year,applied_budget_total_sum,accepted_budget_total_sum,applied_commerc_sum,accepted_commerc_sum,konkurs_budget_mean,konkurs_commerce_mean
2,"Инженерное дело, технологии и технические науки",Амурская область,2023,10222,67,1908,0,195.54,NA
3,Здравоохранение и медицинские науки,Амурская область,2023,792,31,441,0,100.53,NA
4,Сельское хозяйство и сельскохозяйственные науки,Амурская область,2023,1579,2,228,0,238.06,NA
5,Науки об обществе,Амурская область,2023,1890,7,926,0,139.53,NA
6,Образование и педагогические науки,Амурская область,2023,790,165,145,0,5.34,NA
7,Гуманитарные науки,Амурская область,2023,327,115,30,0,3.01,NA
8,Искусство и культура,Амурская область,2023,397,25,70,0,54.16,NA
2,"Инженерное дело, технологии и технические науки",Архангельская область,2016,7661,4550,667,548,2.35,1.39
3,Здравоохранение и медицинские науки,Архангельская область,2016,1522,449,307,187,3.81,1.98
4,Сельское хозяйство и сельскохозяйственные науки,Архангельская область,2016,668,497,32,32,1.93,1
5,Науки об обществе,Архангельская область,2016,1494,1124,444,429,1.43,1.06
6,Образование и педагогические науки,Архангельская область,2016,1175,484,101,90,2.98,1.28
7,Гуманитарные науки,Архангельская область,2016,95,64,10,7,1.69,1.43
8,Искусство и культура,Архангельская область,2016,505,247,16,12,2.61,1.54
2,"Инженерное дело, технологии и технические науки",Архангельская область,2017,8740,251,1027,0,104.02,NA
3,Здравоохранение и медицинские науки,Архангельская область,2017,1256,175,335,0,48.53,NA
4,Сельское хозяйство и сельскохозяйственные науки,Архангельская область,2017,715,5,40,0,28.6,NA
5,Науки об обществе,Архангельская область,2017,1817,212,341,0,71.06,NA
6,Образование и педагогические науки,Архангельская область,2017,988,574,115,0,1.94,NA
7,Гуманитарные науки,Архангельская область,2017,192,32,14,0,64.75,NA
8,Искусство и культура,Архангельская область,2017,507,146,21,0,3.27,NA
2,"Инженерное дело, технологии и технические науки",Архангельская область,2018,9233,243,1288,0,91.57,NA
3,Здравоохранение и медицинские науки,Архангельская область,2018,1440,148,399,0,102.53,NA
4,Сельское хозяйство и сельскохозяйственные науки,Архангельская область,2018,669,3,40,0,44.65,NA
5,Науки об обществе,Архангельская область,2018,2148,196,501,0,36.66,NA
6,Образование и педагогические науки,Архангельская область,2018,1301,659,106,0,2.33,NA
7,Гуманитарные науки,Архангельская область,2018,274,34,16,0,32.03,NA
8,Искусство и культура,Архангельская область,2018,598,139,38,0,5.82,NA
2,"Инженерное дело, технологии и технические науки",Архангельская область,2019,9446,253,838,0,83.02,NA
3,Здравоохранение и медицинские науки,Архангельская область,2019,1610,188,353,0,257.98,NA
4,Сельское хозяйство и сельскохозяйственные науки,Архангельская область,2019,685,2,33,0,58.16,NA
5,Науки об обществе,Архангельская область,2019,2219,163,498,0,56,NA
6,Образование и педагогические науки,Архангельская область,2019,1417,653,117,0,2.43,NA
7,Гуманитарные науки,Архангельская область,2019,259,30,15,0,112.66,NA
8,Искусство и культура,Архангельская область,2019,659,156,44,0,13.66,NA
2,"Инженерное дело, технологии и технические науки",Архангельская область,2020,10778,219,944,0,212.37,NA
3,Здравоохранение и медицинские науки,Архангельская область,2020,1683,179,296,0,87.95,NA
4,Сельское хозяйство и сельскохозяйственные науки,Архангельская область,2020,671,2,38,0,34.51,NA
5,Науки об обществе,Архангельская область,2020,2412,165,417,0,89.42,NA
6,Образование и педагогические науки,Архангельская область,2020,1337,647,117,0,2.25,NA
7,Гуманитарные науки,Архангельская область,2020,299,67,28,0,51.35,NA
8,Искусство и культура,Архангельская область,2020,622,149,42,0,6.54,NA
2,"Инженерное дело, технологии и технические науки",Архангельская область,2021,9978,163,811,0,165.18,NA
3,Здравоохранение и медицинские науки,Архангельская область,2021,1345,211,303,0,64.27,NA
4,Сельское хозяйство и сельскохозяйственные науки,Архангельская область,2021,813,0,26,0,NA,NA
5,Науки об обществе,Архангельская область,2021,2484,125,357,0,48.12,NA
6,Образование и педагогические науки,Архангельская область,2021,1179,593,59,0,2.18,NA
7,Гуманитарные науки,Архангельская область,2021,302,70,27,0,68.48,NA
8,Искусство и культура,Архангельская область,2021,517,145,42,0,25.61,NA
2,"Инженерное дело, технологии и технические науки",Архангельская область,2022,8822,153,781,0,200.08,NA
3,Здравоохранение и медицинские науки,Архангельская область,2022,1634,185,396,0,40.36,NA
4,Сельское хозяйство и сельскохозяйственные науки,Архангельская область,2022,921,8,19,0,43.83,NA
5,Науки об обществе,Архангельская область,2022,2650,193,371,0,106.91,NA
6,Образование и педагогические науки,Архангельская область,2022,1062,539,63,0,2.31,NA
7,Гуманитарные науки,Архангельская область,2022,331,89,29,0,14.46,NA
8,Искусство и культура,Архангельская область,2022,559,149,39,0,6.97,NA
2,"Инженерное дело, технологии и технические науки",Архангельская область,2023,9623,142,735,0,192.64,NA
3,Здравоохранение и медицинские науки,Архангельская область,2023,1606,70,367,0,73.67,NA
4,Сельское хозяйство и сельскохозяйственные науки,Архангельская область,2023,810,5,22,0,47.15,NA
