field,field_name,region,year,applied_budget_total_sum,accepted_budget_total_sum,applied_commerc_sum,accepted_commerc_sum,konkurs_budget_mean,konkurs_commerce_mean
2,"Инженерное дело, технологии и технические науки",Амурская область,2023,3350,611,1181,601,7.04,2.37
3,Здравоохранение и медицинские науки,Амурская область,2023,1860,347,574,65,7.26,63.66
4,Сельское хозяйство и сельскохозяйственные науки,Амурская область,2023,1102,234,96,32,4.96,4.26
5,Науки об обществе,Амурская область,2023,2920,248,1125,314,15.03,5.85
6,Образование и педагогические науки,Амурская область,2023,1739,526,328,202,3.36,4.22
7,Гуманитарные науки,Амурская область,2023,337,53,149,61,8.92,2.99
8,Искусство и культура,Амурская область,2023,140,15,41,5,10.69,6
1,Математические и естественные науки,Архангельская область,2016,443,123,10,0,3.96,NA
2,"Инженерное дело, технологии и технические науки",Архангельская область,2016,5626,1192,818,206,5.17,5.7
3,Здравоохранение и медицинские науки,Архангельская область,2016,2205,370,670,247,6.38,5.91
4,Сельское хозяйство и сельскохозяйственные науки,Архангельская область,2016,274,118,7,1,2.54,2
5,Науки об обществе,Архангельская область,2016,1686,154,1639,725,12.72,3.21
6,Образование и педагогические науки,Архангельская область,2016,2368,551,402,95,4.6,4.78
7,Гуманитарные науки,Архангельская область,2016,565,86,172,50,7.94,3.73
8,Искусство и культура,Архангельская область,2016,0,0,7,0,NA,NA
1,Математические и естественные науки,Архангельская область,2017,390,98,4,0,4.02,NA
2,"Инженерное дело, технологии и технические науки",Архангельская область,2017,6261,1110,434,258,6.42,2.25
3,Здравоохранение и медицинские науки,Архангельская область,2017,2470,390,1170,299,6.69,7.69
4,Сельское хозяйство и сельскохозяйственные науки,Архангельская область,2017,278,95,6,2,3.42,1.5
5,Науки об обществе,Архангельская область,2017,2160,252,1534,822,11.08,2.32
6,Образование и педагогические науки,Архангельская область,2017,1951,552,303,138,3.83,2.3
7,Гуманитарные науки,Архангельская область,2017,485,120,116,46,4.73,3.02
8,Искусство и культура,Архангельская область,2017,0,0,15,0,NA,NA
1,Математические и естественные науки,Архангельская область,2018,499,100,7,6,5.07,1.21
2,"Инженерное дело, технологии и технические науки",Архангельская область,2018,5305,1077,796,391,5.25,2.54
3,Здравоохранение и медицинские науки,Архангельская область,2018,2749,405,881,396,7.76,8.52
4,Сельское хозяйство и сельскохозяйственные науки,Архангельская область,2018,292,70,6,3,4.23,1.8
5,Науки об обществе,Архангельская область,2018,1932,177,1488,720,12.89,2.59
6,Образование и педагогические науки,Архангельская область,2018,2280,535,486,192,4.58,2.5
7,Гуманитарные науки,Архангельская область,2018,670,105,121,64,7.71,2.21
8,Искусство и культура,Архангельская область,2018,0,0,5,0,NA,NA
1,Математические и естественные науки,Архангельская область,2019,447,114,13,3,4.11,2.2
2,"Инженерное дело, технологии и технические науки",Архангельская область,2019,4915,1056,558,194,5.08,3.11
3,Здравоохранение и медицинские науки,Архангельская область,2019,3068,400,1016,386,8.58,5.36
4,Сельское хозяйство и сельскохозяйственные науки,Архангельская область,2019,220,66,8,1,3.56,3
5,Науки об обществе,Архангельская область,2019,2046,243,1015,410,10.67,3.97
6,Образование и педагогические науки,Архангельская область,2019,1873,561,273,52,3.49,5.97
7,Гуманитарные науки,Архангельская область,2019,522,121,143,37,4.57,6.82
1,Математические и естественные науки,Архангельская область,2020,543,79,24,0,6.97,NA
2,"Инженерное дело, технологии и технические науки",Архангельская область,2020,5532,1017,809,235,5.84,7.89
3,Здравоохранение и медицинские науки,Архангельская область,2020,2762,393,922,299,7.71,6.71
4,Сельское хозяйство и сельскохозяйственные науки,Архангельская область,2020,268,61,24,2,4.67,9
5,Науки об обществе,Архангельская область,2020,2207,213,1205,476,14.08,3.81
6,Образование и педагогические науки,Архангельская область,2020,2333,574,325,48,4.36,7.36
7,Гуманитарные науки,Архангельская область,2020,661,132,144,53,5.36,3.53
8,Искусство и культура,Архангельская область,2020,115,15,7,0,7.67,NA
1,Математические и естественные науки,Архангельская область,2021,886,109,23,3,9.92,4.38
2,"Инженерное дело, технологии и технические науки",Архангельская область,2021,6828,1107,685,190,7.2,3.56
3,Здравоохранение и медицинские науки,Архангельская область,2021,3204,464,935,365,8.46,7.08
4,Сельское хозяйство и сельскохозяйственные науки,Архангельская область,2021,367,38,4,0,9.89,NA
5,Науки об обществе,Архангельская область,2021,4017,376,1078,357,13.59,5.24
6,Образование и педагогические науки,Архангельская область,2021,2824,592,268,25,5.11,13.25
7,Гуманитарные науки,Архангельская область,2021,889,167,121,36,5.73,4.83
8,Искусство и культура,Архангельская область,2021,199,20,13,0,9.95,NA
1,Математические и естественные науки,Архангельская область,2022,739,87,12,0,9.76,NA
2,"Инженерное дело, технологии и технические науки",Архангельская область,2022,7220,1135,650,192,8.02,3.87
3,Здравоохранение и медицинские науки,Архангельская область,2022,2923,475,995,296,7.98,24.7
4,Сельское хозяйство и сельскохозяйственные науки,Архангельская область,2022,417,58,11,0,7.33,NA
5,Науки об обществе,Архангельская область,2022,3667,368,766,304,12.4,4.63
6,Образование и педагогические науки,Архангельская область,2022,3613,726,251,38,5.16,12.28
7,Гуманитарные науки,Архангельская область,2022,1281,155,147,43,10.68,11.07
8,Искусство и культура,Архангельская область,2022,272,18,22,2,15.11,11
1,Математические и естественные науки,Архангельская область,2023,931,124,41,2,8.19,15.14
2,"Инженерное дело, технологии и технические науки",Архангельская область,2023,7075,1192,731,203,6.92,5.67
3,Здравоохранение и медицинские науки,Архангельская область,2023,3069,474,954,342,8.13,5.22
4,Сельское хозяйство и сельскохозяйственные науки,Архангельская область,2023,521,77,17,0,7.48,NA
5,Науки об обществе,Архангельская область,2023,3378,422,794,278,12.31,5.23
6,Образование и педагогические науки,Архангельская область,2023,3578,621,329,73,6.28,5.74
7,Гуманитарные науки,Архангельская область,2023,1124,153,168,82,7.83,5.83
8,Искусство и культура,Архангельская область,2023,263,15,21,4,17.53,5.25
1,Математические и естественные науки,Астраханская область,2016,1085,226,365,56,5.32,8.78
2,"Инженерное дело, технологии и технические науки",Астраханская область,2016,5393,1178,2653,1250,5.59,7.02
3,Здравоохранение и медицинские науки,Астраханская область,2016,2757,326,1900,437,11.3,4.67
4,Сельское хозяйство и сельскохозяйственные науки,Астраханская область,2016,554,126,76,6,5.24,5.35
5,Науки об обществе,Астраханская область,2016,2858,327,5207,2262,18.07,3.79
6,Образование и педагогические науки,Астраханская область,2016,2095,515,1026,281,4.21,9.59
