region,field,field_name,code,group_code_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Нижегородская область,3,Здравоохранение и медицинские науки,36,3.36.00.00 - Ветеринария и зоотехния,Принятые,0.68,0.9,1.23,0.74,0.74,0.65,0.51,0.52
Нижегородская область,4,Сельское хозяйство и сельскохозяйственные науки,35,"4.35.00.00 - Сельское, лесное и рыбное хозяйство",Поданные,2.72,2.95,2.63,2.28,2.05,1.77,1.87,1.62
Нижегородская область,4,Сельское хозяйство и сельскохозяйственные науки,35,"4.35.00.00 - Сельское, лесное и рыбное хозяйство",Принятые,4.27,3.7,3.88,3.21,3.35,2.87,2.85,2.55
Нижегородская область,4,Сельское хозяйство и сельскохозяйственные науки,36,4.36.00.00 - Ветеринария и зоотехния,Поданные,0.48,0.5,0.53,0.49,0.4,0.3,0.37,0.33
Нижегородская область,4,Сельское хозяйство и сельскохозяйственные науки,36,4.36.00.00 - Ветеринария и зоотехния,Принятые,0.59,0.62,0.64,0.67,0.57,0.57,0.58,0.55
Нижегородская область,5,Науки об обществе,37,5.37.00.00 - Психологические науки,Поданные,0.86,1.06,1.19,1.14,1.14,2.43,2.37,1.95
Нижегородская область,5,Науки об обществе,37,5.37.00.00 - Психологические науки,Принятые,0.95,1.04,1.13,1.13,1.53,1.95,1.76,1.63
Нижегородская область,5,Науки об обществе,38,5.38.00.00 - Экономика и управление,Поданные,19.85,16.23,16.62,14.21,15.01,14.97,13.76,11.88
Нижегородская область,5,Науки об обществе,38,5.38.00.00 - Экономика и управление,Принятые,19.99,17.83,18.21,16.92,14.21,13.89,13.24,13.83
Нижегородская область,5,Науки об обществе,39,5.39.00.00 - Социология и социальная работа,Поданные,0.91,0.95,1.43,1.38,1.27,1.35,1.64,1.15
Нижегородская область,5,Науки об обществе,39,5.39.00.00 - Социология и социальная работа,Принятые,0.55,0.67,0.81,0.71,1.01,0.59,0.79,0.68
Нижегородская область,5,Науки об обществе,40,5.40.00.00 - Юриспруденция,Поданные,8.32,8.4,6.69,5.28,6.2,6.07,7.84,7.02
Нижегородская область,5,Науки об обществе,40,5.40.00.00 - Юриспруденция,Принятые,11.93,11.27,8.84,7.51,6.93,7.93,8.54,9.2
Нижегородская область,5,Науки об обществе,41,5.41.00.00 - Политические науки и регионоведение,Поданные,1.94,2.08,2.31,2.36,2.9,2.09,2.14,1.08
Нижегородская область,5,Науки об обществе,41,5.41.00.00 - Политические науки и регионоведение,Принятые,1.41,1.68,1.52,1.59,1.82,1.44,1.13,0.72
Нижегородская область,5,Науки об обществе,42,5.42.00.00 - Средства массовой информации и информационно-библиотечное дело,Поданные,1.84,1.81,2.49,3.17,3.41,4.13,4.24,3.77
