region,field,field_name,code,group_code_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Нижегородская область,8,Искусство и культура,54,8.54.00.00 - Изобразительное и прикладные виды искусств,Принятые,2.23,4.12,4.1,4.13,4.12,4.14,4.13,4.6
Нижегородская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,Поданные,NA,0.55,0.14,0.07,0.56,1.38,1.23,1.13
Нижегородская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,Принятые,NA,0,0,0,0.04,0.04,0,0
Нижегородская область,3,Здравоохранение и медицинские науки,32,3.32.00.00 - Науки о здоровье и профилактическая медицина,Поданные,NA,0.22,0.19,0.13,0.18,0.17,0.3,0.11
Нижегородская область,3,Здравоохранение и медицинские науки,32,3.32.00.00 - Науки о здоровье и профилактическая медицина,Принятые,NA,0,0,0,0.04,0,0.04,0
Нижегородская область,1,Математические и естественные науки,05,1.05.00.00 - Науки о Земле,Поданные,NA,NA,0,NA,NA,NA,NA,NA
Нижегородская область,1,Математические и естественные науки,05,1.05.00.00 - Науки о Земле,Принятые,NA,NA,0,NA,NA,NA,NA,NA
Самарская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,Поданные,0.1,0.05,0.04,0,0,0.05,0,0
Самарская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,Принятые,0.12,0,0,0,0,0,0,0
Самарская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,Поданные,8.15,7.3,6.93,7.8,6.86,7.08,5.87,7.17
Самарская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,Принятые,8.54,1.08,1.74,1.01,1.1,1.2,1.1,1.8
Самарская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,Поданные,5.11,6.14,7.86,7.75,10.72,12.27,15.79,15.14
Самарская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,Принятые,4.42,4.45,6.37,6.83,7.78,6.83,11.43,13.16
Самарская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,Поданные,0.02,0.07,0.11,0.11,0.35,0.54,0.74,0.74
Самарская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,Принятые,0.01,0,0,0,0,0.05,0.05,0
Самарская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи",Поданные,0.96,1.1,1.33,1.02,0.9,0.94,0.86,0.73
Самарская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи",Принятые,0.95,0.03,0,0.05,0.12,0.05,0.8,0
Самарская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии",Поданные,0.25,0.23,0.22,0.23,NA,NA,NA,NA
Самарская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии",Принятые,0.12,0,0,0.03,NA,NA,NA,NA
Самарская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,Поданные,3.21,4.59,3.22,3.03,2.46,2.82,2.24,2.24
