region,field,field_name,code,group_code_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Ростовская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,"Принято, коммерция",2.26,5.45,NA,NA,NA,0,NA,NA
Ростовская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,"Подано, бюджет",1.3,1.08,1.24,1.39,1.22,1.18,1.06,0.85
Ростовская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,"Подано, коммерция",0.65,0.54,0.6,0.5,0.54,0.57,0.64,0.45
Ростовская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,"Принято, бюджет",1.11,0.03,0.03,0,0,0.03,0.03,0.06
Ростовская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,"Принято, коммерция",0.82,0,NA,NA,NA,0,NA,NA
Ростовская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия","Подано, бюджет",2.42,2.29,2.36,2.29,2.18,2.17,2.35,2.38
Ростовская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия","Подано, коммерция",0.74,1.1,0.63,1.07,1.06,1.33,1.27,1.32
Ростовская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия","Принято, бюджет",2.62,0.78,0.79,0.65,0.03,0.05,0.03,0.03
Ростовская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия","Принято, коммерция",0.53,0,NA,NA,NA,0,NA,NA
Ростовская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,"Подано, бюджет",0.88,0.73,0.67,0.6,0.6,0.86,1.13,1.05
Ростовская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,"Подано, коммерция",0.24,0.23,0.4,0.34,0.4,0.45,0.04,0.27
Ростовская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,"Принято, бюджет",1,0,0,0.03,0,0,0,0
Ростовская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,"Принято, коммерция",0.31,0,NA,NA,NA,0,NA,NA
Ростовская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,"Подано, бюджет",11.09,11.14,11.41,12.01,11.53,10.44,10.07,9.95
Ростовская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,"Подано, коммерция",6.1,5.99,6.55,5.61,5.39,4.35,4.8,5.24
Ростовская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,"Принято, бюджет",11.55,1.07,1.08,1.08,0.99,1.14,0.32,0.43
Ростовская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,"Принято, коммерция",5.95,27.27,NA,NA,NA,38.46,NA,NA
Ростовская область,2,"Инженерное дело, технологии и технические науки",24,2.24.00.00 - Авиационная и ракетно-космическая техника,"Подано, бюджет",0.47,0.51,0.48,0.48,0.57,0.6,0.52,0.81
Ростовская область,2,"Инженерное дело, технологии и технические науки",24,2.24.00.00 - Авиационная и ракетно-космическая техника,"Подано, коммерция",0.01,0.03,0.1,0,0,0,0,0.14
Ростовская область,2,"Инженерное дело, технологии и технические науки",24,2.24.00.00 - Авиационная и ракетно-космическая техника,"Принято, бюджет",0.47,0.67,0.03,0.65,0,0.67,0.7,0.06
Ростовская область,2,"Инженерное дело, технологии и технические науки",24,2.24.00.00 - Авиационная и ракетно-космическая техника,"Принято, коммерция",0.01,0,NA,NA,NA,0,NA,NA
