Раздел области;Область образования (наименование);Код укрупненной группы;СПО/ВО;Образовательный уровень (по направлениям);Код специальности / Наименование специальности (официальная версия);Код специальности / Наименование специальности;Код специальности (ОКСО);Наименование специальности (ОКСО);Отрасль №1 (основная);Отрасль №2;Отрасль №3
field;field_name;group_code_name;edulvl;edulvl_2;code_name;code_name_full;code;spec;industry1;industry2;industry3
2;Инженерное дело, технологии и технические науки;2.23.00.00 - Техника и технологии наземного транспорта;ВО;Специалитет;2.23.05.02 - Транспортные средства специального назначения;23.05.02 - Транспортные средства специального назначения;23.05.02;Транспортные средства специального назначения;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.23.00.00 - Техника и технологии наземного транспорта;ВО;Специалитет;2.23.05.03 - Подвижной состав железных дорог;23.05.03 - Подвижной состав железных дорог;23.05.03;Подвижной состав железных дорог;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.23.00.00 - Техника и технологии наземного транспорта;ВО;Специалитет;2.23.05.04 - Эксплуатация железных дорог;23.05.04 - Эксплуатация железных дорог;23.05.04;Эксплуатация железных дорог;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.23.00.00 - Техника и технологии наземного транспорта;ВО;Специалитет;2.23.05.05 - Системы обеспечения движения поездов;23.05.05 - Системы обеспечения движения поездов;23.05.05;Системы обеспечения движения поездов;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.23.00.00 - Техника и технологии наземного транспорта;ВО;Специалитет;2.23.05.06 - Строительство железных дорог, мостов и транспортных тоннелей;23.05.06 - Строительство железных дорог, мостов и транспортных тоннелей;23.05.06;Строительство железных дорог, мостов и транспортных тоннелей;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.24.00.00 - Авиационная и ракетно-космическая техника;СПО;Подготовка квалифицированных рабочих, служащих;2.24.01.01 - Слесарь-сборщик авиационной техники;24.01.01 - Слесарь-сборщик авиационной техники;24.01.01;Слесарь-сборщик авиационной техники;Машиностроение и производство транспортных средств;Транспорт и логистика;
2;Инженерное дело, технологии и технические науки;2.24.00.00 - Авиационная и ракетно-космическая техника;СПО;Подготовка квалифицированных рабочих, служащих;2.24.01.02 - Электромонтажник авиационной техники;24.01.02 - Электромонтажник авиационной техники;24.01.02;Электромонтажник авиационной техники;Машиностроение и производство транспортных средств;Транспорт и логистика;
2;Инженерное дело, технологии и технические науки;2.24.00.00 - Авиационная и ракетно-космическая техника;СПО;Подготовка квалифицированных рабочих, служащих;2.24.01.03 - Слесарь-механик авиационных приборов;24.01.03 - Слесарь-механик авиационных приборов;24.01.03;Слесарь-механик авиационных приборов;Машиностроение и производство транспортных средств;Транспорт и логистика;
2;Инженерное дело, технологии и технические науки;2.24.00.00 - Авиационная и ракетно-космическая техника;СПО;Подготовка квалифицированных рабочих, служащих;2.24.01.04 - Слесарь по ремонту авиационной техники;24.01.04 - Слесарь по ремонту авиационной техники;24.01.04;Слесарь по ремонту авиационной техники;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.24.00.00 - Авиационная и ракетно-космическая техника;СПО;Подготовка специалистов среднего звена;2.24.02.01 - Производство летательных аппаратов;24.02.01 - Производство летательных аппаратов;24.02.01;Производство летательных аппаратов;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.24.00.00 - Авиационная и ракетно-космическая техника;СПО;Подготовка специалистов среднего звена;2.24.02.02 - Производство авиационных двигателей;24.02.02 - Производство авиационных двигателей;24.02.02;Производство авиационных двигателей;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.24.00.00 - Авиационная и ракетно-космическая техника;СПО;Подготовка специалистов среднего звена;2.24.02.03 - Испытание летательных аппаратов;24.02.03 - Испытание летательных аппаратов;24.02.03;Испытание летательных аппаратов;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.24.00.00 - Авиационная и ракетно-космическая техника;ВО;Бакалавриат;2.24.03.01 - Ракетные комплексы и космонавтика;24.03.01 - Ракетные комплексы и космонавтика;24.03.01;Ракетные комплексы и космонавтика;Космическая отрасль;Транспорт и логистика;
2;Инженерное дело, технологии и технические науки;2.24.00.00 - Авиационная и ракетно-космическая техника;ВО;Бакалавриат;2.24.03.02 - Системы управления движением и навигация;24.03.02 - Системы управления движением и навигация;24.03.02;Системы управления движением и навигация;Космическая отрасль;Транспорт и логистика;
2;Инженерное дело, технологии и технические науки;2.24.00.00 - Авиационная и ракетно-космическая техника;ВО;Бакалавриат;2.24.03.03 - Баллистика и гидроаэродинамика;24.03.03 - Баллистика и гидроаэродинамика;24.03.03;Баллистика и гидроаэродинамика;Космическая отрасль;Транспорт и логистика;
2;Инженерное дело, технологии и технические науки;2.24.00.00 - Авиационная и ракетно-космическая техника;ВО;Бакалавриат;2.24.03.04 - Авиастроение;24.03.04 - Авиастроение;24.03.04;Авиастроение;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.24.00.00 - Авиационная и ракетно-космическая техника;ВО;Бакалавриат;2.24.03.05 - Двигатели летательных аппаратов;24.03.05 - Двигатели летательных аппаратов;24.03.05;Двигатели летательных аппаратов;Космическая отрасль;Машиностроение и производство транспортных средств;
2;Инженерное дело, технологии и технические науки;2.24.00.00 - Авиационная и ракетно-космическая техника;ВО;Специалитет;2.24.05.01 - Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов;24.05.01 - Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов;24.05.01;Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов;Космическая отрасль;Машиностроение и производство транспортных средств;
2;Инженерное дело, технологии и технические науки;2.24.00.00 - Авиационная и ракетно-космическая техника;ВО;Специалитет;2.24.05.02 - Проектирование авиационных и ракетных двигателей;24.05.02 - Проектирование авиационных и ракетных двигателей;24.05.02;Проектирование авиационных и ракетных двигателей;Космическая отрасль;Машиностроение и производство транспортных средств;
2;Инженерное дело, технологии и технические науки;2.24.00.00 - Авиационная и ракетно-космическая техника;ВО;Специалитет;2.24.05.03 - Испытание летательных аппаратов;24.05.03 - Испытание летательных аппаратов;24.05.03;Испытание летательных аппаратов;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.24.00.00 - Авиационная и ракетно-космическая техника;ВО;Специалитет;2.24.05.04 - Навигационно-баллистическое обеспечение применения космической техники;24.05.04 - Навигационно-баллистическое обеспечение применения космической техники;24.05.04;Навигационно-баллистическое обеспечение применения космической техники;Космическая отрасль;;
2;Инженерное дело, технологии и технические науки;2.24.00.00 - Авиационная и ракетно-космическая техника;ВО;Специалитет;2.24.05.05 - Интегрированные системы летательных аппаратов;24.05.05 - Интегрированные системы летательных аппаратов;24.05.05;Интегрированные системы летательных аппаратов;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.24.00.00 - Авиационная и ракетно-космическая техника;ВО;Специалитет;2.24.05.06 - Системы управления летательными аппаратами;24.05.06 - Системы управления летательными аппаратами;24.05.06;Системы управления летательными аппаратами;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.24.00.00 - Авиационная и ракетно-космическая техника;ВО;Специалитет;2.24.05.07 - Самолето- и вертолетостроение;24.05.07 - Самолето- и вертолетостроение;24.05.07;Самолето- и вертолетостроение;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники;СПО;Подготовка специалистов среднего звена;2.25.02.01 - Техническая эксплуатация летательных аппаратов и двигателей;25.02.01 - Техническая эксплуатация летательных аппаратов и двигателей;25.02.01;Техническая эксплуатация летательных аппаратов и двигателей;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники;СПО;Подготовка специалистов среднего звена;2.25.02.02 - Обслуживание летательных аппаратов горюче-смазочными материалами;25.02.02 - Обслуживание летательных аппаратов горюче-смазочными материалами;25.02.02;Обслуживание летательных аппаратов горюче-смазочными материалами;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники;СПО;Подготовка специалистов среднего звена;2.25.02.03 - Техническая эксплуатация электрифицированных и пилотажно-навигационных комплексов;25.02.03 - Техническая эксплуатация электрифицированных и пилотажно-навигационных комплексов;25.02.03;Техническая эксплуатация электрифицированных и пилотажно-навигационных комплексов;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники;СПО;Подготовка специалистов среднего звена;2.25.02.04 - Летная эксплуатация летательных аппаратов;25.02.04 - Летная эксплуатация летательных аппаратов;25.02.04;Летная эксплуатация летательных аппаратов;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники;СПО;Подготовка специалистов среднего звена;2.25.02.05 - Управление движением воздушного транспорта;25.02.05 - Управление движением воздушного транспорта;25.02.05;Управление движением воздушного транспорта;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники;СПО;Подготовка специалистов среднего звена;2.25.02.06 - Производство и обслуживание авиационной техники;25.02.06 - Производство и обслуживание авиационной техники;25.02.06;Производство и обслуживание авиационной техники;Машиностроение и производство транспортных средств;Транспорт и логистика;
2;Инженерное дело, технологии и технические науки;2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники;СПО;Подготовка специалистов среднего звена;2.25.02.07 - Техническое обслуживание авиационных двигателей;25.02.07 - Техническое обслуживание авиационных двигателей;25.02.07;Техническое обслуживание авиационных двигателей;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники;СПО;Подготовка специалистов среднего звена;2.25.02.08 - Эксплуатация беспилотных авиационных систем;25.02.08 - Эксплуатация беспилотных авиационных систем;25.02.08;Эксплуатация беспилотных авиационных систем;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники;СПО;Подготовка специалистов среднего звена;2.25.02.09 - Организация воздушных перевозок и авиационных работ;25.02.09 - Организация воздушных перевозок и авиационных работ;25.02.09;Организация воздушных перевозок и авиационных работ;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники;ВО;Бакалавриат;2.25.03.01 - Техническая эксплуатация летательных аппаратов и двигателей;25.03.01 - Техническая эксплуатация летательных аппаратов и двигателей;25.03.01;Техническая эксплуатация летательных аппаратов и двигателей;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники;ВО;Бакалавриат;2.25.03.02 - Техническая эксплуатация авиационных электросистем и пилотажно-навигационных комплексов;25.03.02 - Техническая эксплуатация авиационных электросистем и пилотажно-навигационных комплексов;25.03.02;Техническая эксплуатация авиационных электросистем и пилотажно-навигационных комплексов;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники;ВО;Бакалавриат;2.25.03.03 - Аэронавигация;25.03.03 - Аэронавигация;25.03.03;Аэронавигация;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники;ВО;Бакалавриат;2.25.03.04 - Эксплуатация аэропортов и обеспечение полетов воздушных судов;25.03.04 - Эксплуатация аэропортов и обеспечение полетов воздушных судов;25.03.04;Эксплуатация аэропортов и обеспечение полетов воздушных судов;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники;ВО;Специалитет;2.25.05.01 - Техническая эксплуатация и восстановление боевых летательных аппаратов и двигателей;25.05.01 - Техническая эксплуатация и восстановление боевых летательных аппаратов и двигателей;25.05.01;Техническая эксплуатация и восстановление боевых летательных аппаратов и двигателей;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники;ВО;Специалитет;2.25.05.02 - Техническая эксплуатация и восстановление электросистем и пилотажно-навигационных комплексов боевых летательных аппаратов;25.05.02 - Техническая эксплуатация и восстановление электросистем и пилотажно-навигационных комплексов боевых летательных аппаратов;25.05.02;Техническая эксплуатация и восстановление электросистем и пилотажно-навигационных комплексов боевых летательных аппаратов;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники;ВО;Специалитет;2.25.05.03 - Техническая эксплуатация транспортного радиооборудования;25.05.03 - Техническая эксплуатация транспортного радиооборудования;25.05.03;Техническая эксплуатация транспортного радиооборудования;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники;ВО;Специалитет;2.25.05.04 - Летная эксплуатация и применение авиационных комплексов;25.05.04 - Летная эксплуатация и применение авиационных комплексов;25.05.04;Летная эксплуатация и применение авиационных комплексов;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники;ВО;Специалитет;2.25.05.05 - Эксплуатация воздушных судов и организация воздушного движения;25.05.05 - Эксплуатация воздушных судов и организация воздушного движения;25.05.05;Эксплуатация воздушных судов и организация воздушного движения;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;СПО;Подготовка квалифицированных рабочих, служащих;2.26.01.01 - Судостроитель-судоремонтник металлических судов;26.01.01 - Судостроитель-судоремонтник металлических судов;26.01.01;Судостроитель-судоремонтник металлических судов;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;СПО;Подготовка квалифицированных рабочих, служащих;2.26.01.02 - Судостроитель-судоремонтник неметаллических судов;26.01.02 - Судостроитель-судоремонтник неметаллических судов;26.01.02;Судостроитель-судоремонтник неметаллических судов;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;СПО;Подготовка квалифицированных рабочих, служащих;2.26.01.03 - Слесарь-монтажник судовой;26.01.03 - Слесарь-монтажник судовой;26.01.03;Слесарь-монтажник судовой;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;СПО;Подготовка квалифицированных рабочих, служащих;2.26.01.04 - Слесарь-механик судовой;26.01.04 - Слесарь-механик судовой;26.01.04;Слесарь-механик судовой;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;СПО;Подготовка квалифицированных рабочих, служащих;2.26.01.05 - Электрорадиомонтажник судовой;26.01.05 - Электрорадиомонтажник судовой;26.01.05;Электрорадиомонтажник судовой;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;СПО;Подготовка квалифицированных рабочих, служащих;2.26.01.06 - Судоводитель-помощник механика маломерного судна;26.01.06 - Судоводитель-помощник механика маломерного судна;26.01.06;Судоводитель-помощник механика маломерного судна;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;СПО;Подготовка квалифицированных рабочих, служащих;2.26.01.07 - Матрос;26.01.07 - Матрос;26.01.07;Матрос;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;СПО;Подготовка квалифицированных рабочих, служащих;2.26.01.08 - Моторист (машинист);26.01.08 - Моторист (машинист);26.01.08;Моторист (машинист);Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;СПО;Подготовка квалифицированных рабочих, служащих;2.26.01.09 - Моторист судовой;26.01.09 - Моторист судовой;26.01.09;Моторист судовой;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;СПО;Подготовка квалифицированных рабочих, служащих;2.26.01.10 - Механик маломерного судна;26.01.10 - Механик маломерного судна;26.01.10;Механик маломерного судна;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;СПО;Подготовка квалифицированных рабочих, служащих;2.26.01.11 - Машинист-котельный судовой;26.01.11 - Машинист-котельный судовой;26.01.11;Машинист-котельный судовой;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;СПО;Подготовка квалифицированных рабочих, служащих;2.26.01.12 - Электрик судовой;26.01.12 - Электрик судовой;26.01.12;Электрик судовой;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;СПО;Подготовка квалифицированных рабочих, служащих;2.26.01.13 - Водолаз;26.01.13 - Водолаз;26.01.13;Водолаз;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;СПО;Подготовка специалистов среднего звена;2.26.02.01 - Эксплуатация внутренних водных путей;26.02.01 - Эксплуатация внутренних водных путей;26.02.01;Эксплуатация внутренних водных путей;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;СПО;Подготовка специалистов среднего звена;2.26.02.02 - Судостроение;26.02.02 - Судостроение;26.02.02;Судостроение;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;СПО;Подготовка специалистов среднего звена;2.26.02.03 - Судовождение;26.02.03 - Судовождение;26.02.03;Судовождение;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;СПО;Подготовка специалистов среднего звена;2.26.02.04 - Монтаж и техническое обслуживание судовых машин и механизмов;26.02.04 - Монтаж и техническое обслуживание судовых машин и механизмов;26.02.04;Монтаж и техническое обслуживание судовых машин и механизмов;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;СПО;Подготовка специалистов среднего звена;2.26.02.05 - Эксплуатация судовых энергетических установок;26.02.05 - Эксплуатация судовых энергетических установок;26.02.05;Эксплуатация судовых энергетических установок;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;СПО;Подготовка специалистов среднего звена;2.26.02.06 - Эксплуатация судового электрооборудования и средств автоматики;26.02.06 - Эксплуатация судового электрооборудования и средств автоматики;26.02.06;Эксплуатация судового электрооборудования и средств автоматики;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;ВО;Бакалавриат;2.26.03.01 - Управление водным транспортом и гидрографическое обеспечение судоходства;26.03.01 - Управление водным транспортом и гидрографическое обеспечение судоходства;26.03.01;Управление водным транспортом и гидрографическое обеспечение судоходства;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;ВО;Бакалавриат;2.26.03.02 - Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры;26.03.02 - Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры;26.03.02;Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;ВО;Бакалавриат;2.26.03.03 - Водные пути, порты и гидротехнические сооружения;26.03.03 - Водные пути, порты и гидротехнические сооружения;26.03.03;Водные пути, порты и гидротехнические сооружения;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;ВО;Бакалавриат;2.26.03.04 - Инженерно-экономическое обеспечение технологий и бизнес-процессов водного транспорта;26.03.04 - Инженерно-экономическое обеспечение технологий и бизнес-процессов водного транспорта;26.03.04;Инженерно-экономическое обеспечение технологий и бизнес-процессов водного транспорта;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;ВО;Специалитет;2.26.05.01 - Проектирование и постройка кораблей, судов и объектов океанотехники;26.05.01 - Проектирование и постройка кораблей, судов и объектов океанотехники;26.05.01;Проектирование и постройка кораблей, судов и объектов океанотехники;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;ВО;Специалитет;2.26.05.02 - Проектирование, изготовление и ремонт энергетических установок и систем автоматизации кораблей и судов;26.05.02 - Проектирование, изготовление и ремонт энергетических установок и систем автоматизации кораблей и судов;26.05.02;Проектирование, изготовление и ремонт энергетических установок и систем автоматизации кораблей и судов;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;ВО;Специалитет;2.26.05.03 - Строительство, ремонт и поисково-спасательное обеспечение надводных кораблей и подводных лодок;26.05.03 - Строительство, ремонт и поисково-спасательное обеспечение надводных кораблей и подводных лодок;26.05.03;Строительство, ремонт и поисково-спасательное обеспечение надводных кораблей и подводных лодок;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;ВО;Специалитет;2.26.05.04 - Применение и эксплуатация технических систем надводных кораблей и подводных лодок;26.05.04 - Применение и эксплуатация технических систем надводных кораблей и подводных лодок;26.05.04;Применение и эксплуатация технических систем надводных кораблей и подводных лодок;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;ВО;Специалитет;2.26.05.05 - Судовождение;26.05.05 - Судовождение;26.05.05;Судовождение;Транспорт и логистика;;
2;Инженерное дело, технологии и технические науки;2.26.00.00 - Техника и технологии кораблестроения и водного транспорта;ВО;Специалитет;2.26.05.06 - Эксплуатация судовых энергетических установок;26.05.06 - Эксплуатация судовых энергетических установок;26.05.06;Эксплуатация судовых энергетических установок;Транспорт и логистика;;
