Раздел области;Область образования (наименование);Код укрупненной группы;СПО/ВО;Образовательный уровень (по направлениям);Код специальности / Наименование специальности (официальная версия);Код специальности / Наименование специальности;Код специальности (ОКСО);Наименование специальности (ОКСО);Отрасль №1 (основная);Отрасль №2;Отрасль №3
field;field_name;group_code_name;edulvl;edulvl_2;code_name;code_name_full;code;spec;industry1;industry2;industry3
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.09 - Слесарь по строительно-монтажным работам;08.01.09 - Слесарь по строительно-монтажным работам;08.01.09;Слесарь по строительно-монтажным работам;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.10 - Мастер жилищно-коммунального хозяйства;08.01.10 - Мастер жилищно-коммунального хозяйства;08.01.10;Мастер жилищно-коммунального хозяйства;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.11 - Машинист машин и оборудования в производстве цемента;08.01.11 - Машинист машин и оборудования в производстве цемента;08.01.11;Машинист машин и оборудования в производстве цемента;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.12 - Оператор технологического оборудования в производстве стеновых и вяжущих материалов;08.01.12 - Оператор технологического оборудования в производстве стеновых и вяжущих материалов;08.01.12;Оператор технологического оборудования в производстве стеновых и вяжущих материалов;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.13 - Изготовитель железобетонных изделий;08.01.13 - Изготовитель железобетонных изделий;08.01.13;Изготовитель железобетонных изделий;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.14 - Монтажник санитарно-технических, вентиляционных систем и оборудования;08.01.14 - Монтажник санитарно-технических, вентиляционных систем и оборудования;08.01.14;Монтажник санитарно-технических, вентиляционных систем и оборудования;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.15 - Слесарь по изготовлению деталей и узлов технических систем в строительстве;08.01.15 - Слесарь по изготовлению деталей и узлов технических систем в строительстве;08.01.15;Слесарь по изготовлению деталей и узлов технических систем в строительстве;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.16 - Электромонтажник по сигнализации, централизации и блокировке;08.01.16 - Электромонтажник по сигнализации, централизации и блокировке;08.01.16;Электромонтажник по сигнализации, централизации и блокировке;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.17 - Электромонтажник-наладчик;08.01.17 - Электромонтажник-наладчик;08.01.17;Электромонтажник-наладчик;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.18 - Электромонтажник электрических сетей и электрооборудования;08.01.18 - Электромонтажник электрических сетей и электрооборудования;08.01.18;Электромонтажник электрических сетей и электрооборудования;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.19 - Электромонтажник по силовым сетям и электрооборудованию;08.01.19 - Электромонтажник по силовым сетям и электрооборудованию;08.01.19;Электромонтажник по силовым сетям и электрооборудованию;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.20 - Электромонтажник по электрическим машинам;08.01.20 - Электромонтажник по электрическим машинам;08.01.20;Электромонтажник по электрическим машинам;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.21 - Монтажник электрических подъемников (лифтов);08.01.21 - Монтажник электрических подъемников (лифтов);08.01.21;Монтажник электрических подъемников (лифтов);Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.22 - Мастер путевых машин;08.01.22 - Мастер путевых машин;08.01.22;Мастер путевых машин;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.23 - Бригадир-путеец;08.01.23 - Бригадир-путеец;08.01.23;Бригадир-путеец;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.24 - Мастер столярно-плотничных, паркетных и стекольных работ;08.01.24 - Мастер столярно-плотничных, паркетных и стекольных работ;08.01.24;Мастер столярно-плотничных, паркетных и стекольных работ;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.27 - Мастер общестроительных работ;08.01.27 - Мастер общестроительных работ;08.01.27;Мастер общестроительных работ;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.28 - Мастер отделочных строительных и декоративных работ;08.01.28 - Мастер отделочных строительных и декоративных работ;08.01.25;Мастер отделочных строительных и декоративных работ;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.29 - Мастер по ремонту и обслуживанию инженерных систем жилищно-коммунального хозяйства;08.01.29 - Мастер по ремонту и обслуживанию инженерных систем жилищно-коммунального хозяйства;08.01.26;Мастер по ремонту и обслуживанию инженерных систем жилищно-коммунального хозяйства;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;;;08.01.28;Мастер отделочных строительных и декоративных работ;;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;;;08.01.29;Мастер по ремонту и обслуживанию инженерных систем жилищно-коммунального хозяйства;;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.30 - Электромонтажник слаботочных систем;08.01.30 - Электромонтажник слаботочных систем;08.01.30;Электромонтажник слаботочных систем;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.31 - Электромонтажник электрических сетей и электрооборудования;08.01.31 - Электромонтажник электрических сетей и электрооборудования;08.01.31;Электромонтажник электрических сетей и электрооборудования;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.01 - Строительство и эксплуатация зданий и сооружений;08.02.01 - Строительство и эксплуатация зданий и сооружений;08.02.01;Строительство и эксплуатация зданий и сооружений;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.02 - Строительство и эксплуатация инженерных сооружений;08.02.02 - Строительство и эксплуатация инженерных сооружений;08.02.02;Строительство и эксплуатация инженерных сооружений;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.03 - Производство неметаллических строительных изделий и конструкций;08.02.03 - Производство неметаллических строительных изделий и конструкций;08.02.03;Производство неметаллических строительных изделий и конструкций;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.04 - Водоснабжение и водоотведение;08.02.04 - Водоснабжение и водоотведение;08.02.04;Водоснабжение и водоотведение;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.05 - Строительство и эксплуатация автомобильных дорог и аэродромов;08.02.05 - Строительство и эксплуатация автомобильных дорог и аэродромов;08.02.05;Строительство и эксплуатация автомобильных дорог и аэродромов;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.06 - Строительство и эксплуатация городских путей сообщения;08.02.06 - Строительство и эксплуатация городских путей сообщения;08.02.06;Строительство и эксплуатация городских путей сообщения;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.07 - Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции;08.02.07 - Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции;08.02.07;Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.08 - Монтаж и эксплуатация оборудования и систем газоснабжения;08.02.08 - Монтаж и эксплуатация оборудования и систем газоснабжения;08.02.08;Монтаж и эксплуатация оборудования и систем газоснабжения;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.09 - Монтаж, наладка и эксплуатация электрооборудования промышленных и гражданских зданий;08.02.09 - Монтаж, наладка и эксплуатация электрооборудования промышленных и гражданских зданий;08.02.09;Монтаж, наладка и эксплуатация электрооборудования промышленных и гражданских зданий;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.10 - Строительство железных дорог, путь и путевое хозяйство;08.02.10 - Строительство железных дорог, путь и путевое хозяйство;08.02.10;Строительство железных дорог, путь и путевое хозяйство;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.11 - Управление, эксплуатация и обслуживание многоквартирного дома;08.02.11 - Управление, эксплуатация и обслуживание многоквартирного дома;08.02.11;Управление, эксплуатация и обслуживание многоквартирного дома;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.12 - Строительство и эксплуатация автомобильных дорог, аэродромов и городских путей сообщения ;08.02.12 - Строительство и эксплуатация автомобильных дорог, аэродромов и городских путей сообщения;08.02.12;Строительство и эксплуатация автомобильных дорог, аэродромов и городских путей сообщения;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.13 - Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции;08.02.13 - Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции;08.02.13;Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.14 - Эксплуатация и обслуживание многоквартирного дома;08.02.14 - Эксплуатация и обслуживание многоквартирного дома;08.02.14;Эксплуатация и обслуживание многоквартирного дома;Архитектура, строительство и недвижимость;;
