field;field_name;group_code_name;edulvl;edulvl_2;code_name_official;code_name;code_old;code;spec_name;comment
3;Здравоохранение и медицинские науки;3.34.00.00 - Сестринское дело;СПО;Подготовка специалистов среднего звена;3.34.02.01 - Сестринское дело;34.02.01 - Сестринское дело;;34.02.01;Сестринское дело;
3;Здравоохранение и медицинские науки;3.34.00.00 - Сестринское дело;СПО;Подготовка специалистов среднего звена;3.34.02.02 - Медицинский массаж (для обучения лиц с ограниченными возможностями здоровья по зрению);34.02.02 - Медицинский массаж (для обучения лиц с ограниченными возможностями здоровья по зрению);;34.02.02;Медицинский массаж (для обучения лиц с ограниченными возможностями здоровья по зрению);
3;Здравоохранение и медицинские науки;3.36.00.00 - Ветеринария и зоотехния;ВО;Специалитет;3.36.05.01 - Ветеринария;36.05.01 - Ветеринария;;36.05.01;Ветеринария;
2;Инженерное дело, технологии и технические науки;2.07.00.00 - Архитектура;ВО;Бакалавриат;2.07.03.01 - Архитектура;07.03.01 - Архитектура;;07.03.01;Архитектура;
2;Инженерное дело, технологии и технические науки;2.07.00.00 - Архитектура;ВО;Бакалавриат;2.07.03.02 - Реконструкция и реставрация архитектурного наследия;07.03.02 - Реконструкция и реставрация архитектурного наследия;;07.03.02;Реконструкция и реставрация архитектурного наследия;
2;Инженерное дело, технологии и технические науки;2.07.00.00 - Архитектура;ВО;Бакалавриат;2.07.03.03 - Дизайн архитектурной среды;07.03.03 - Дизайн архитектурной среды;;07.03.03;Дизайн архитектурной среды;
2;Инженерное дело, технологии и технические науки;2.07.00.00 - Архитектура;ВО;Бакалавриат;2.07.03.04 - Градостроительство;07.03.04 - Градостроительство;;07.03.04;Градостроительство;
2;Инженерное дело, технологии и технические науки;2.07.00.00 - Архитектура;СПО;Подготовка специалистов среднего звена;2.07.02.01 - Архитектура;07.02.01 - Архитектура;;07.02.01;Архитектура;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;ВО;Бакалавриат;2.08.03.01 - Строительство;08.03.01 - Строительство;;08.03.01;Строительство;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.02 - Монтажник трубопроводов;08.01.02 - Монтажник трубопроводов;;08.01.02;Монтажник трубопроводов;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.04 - Кровельщик;08.01.04 - Кровельщик;;08.01.04;Кровельщик;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.22 - Мастер путевых машин;08.01.22 - Мастер путевых машин;;08.01.22;Мастер путевых машин;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.23 - Бригадир-путеец;08.01.23 - Бригадир-путеец;;08.01.23;Бригадир-путеец;
3;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.24 - Мастер столярно-плотничных, паркетных и стекольных работ;08.01.24 - Мастер столярно-плотничных, паркетных и стекольных работ;;08.01.24;Мастер столярно-плотничных, паркетных и стекольных работ;
4;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.27 - Мастер общестроительных работ;08.01.27 - Мастер общестроительных работ;;08.01.27;Мастер общестроительных работ;
5;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.28 - Мастер отделочных строительных и декоративных работ;08.01.28 - Мастер отделочных строительных и декоративных работ;08.01.25;08.01.28;Мастер отделочных строительных и декоративных работ;замена кода, было 08.01.25
6;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.29 - Мастер по ремонту и обслуживанию инженерных систем жилищно-коммунального хозяйства;08.01.29 - Мастер по ремонту и обслуживанию инженерных систем жилищно-коммунального хозяйства;08,01,26;08.01.29;Мастер по ремонту и обслуживанию инженерных систем жилищно-коммунального хозяйства;замена кода, было 08.01.26
7;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.30 - Электромонтажник слаботочных систем;08.01.30 - Электромонтажник слаботочных систем;;08.01.30;Электромонтажник слаботочных систем;
8;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.31 - Электромонтажник электрических сетей и электрооборудования;08.01.31 - Электромонтажник электрических сетей и электрооборудования;;08.01.31;Электромонтажник электрических сетей и электрооборудования;
9;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.31 - Электромонтажник электрических сетей и электрооборудования;08.01.32 - Электромонтажник электрических сетей и электрооборудования;;08.01.32;Мастер аварийно-восстановительных работ на сетях водоснабжения и водоотведения;new
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.01 - Строительство и эксплуатация зданий и сооружений;08.02.01 - Строительство и эксплуатация зданий и сооружений;;08.02.01;Строительство и эксплуатация зданий и сооружений;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.02 - Строительство и эксплуатация инженерных сооружений;08.02.02 - Строительство и эксплуатация инженерных сооружений;;08.02.02;Строительство и эксплуатация инженерных сооружений;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.03 - Производство неметаллических строительных изделий и конструкций;08.02.03 - Производство неметаллических строительных изделий и конструкций;;08.02.03;Производство неметаллических строительных изделий и конструкций;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.04 - Водоснабжение и водоотведение;08.02.04 - Водоснабжение и водоотведение;;08.02.04;Водоснабжение и водоотведение;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.08 - Монтаж и эксплуатация оборудования и систем газоснабжения;08.02.08 - Монтаж и эксплуатация оборудования и систем газоснабжения;;08.02.08;Монтаж и эксплуатация оборудования и систем газоснабжения;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.09 - Монтаж, наладка и эксплуатация электрооборудования промышленных и гражданских зданий;08.02.09 - Монтаж, наладка и эксплуатация электрооборудования промышленных и гражданских зданий;;08.02.09;Монтаж, наладка и эксплуатация электрооборудования промышленных и гражданских зданий;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.10 - Строительство железных дорог, путь и путевое хозяйство;08.02.10 - Строительство железных дорог, путь и путевое хозяйство;;08.02.10;Строительство железных дорог, путь и путевое хозяйство;утратил силу
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.12 - Строительство и эксплуатация автомобильных дорог, аэродромов и городских путей сообщения ;08.02.12 - Строительство и эксплуатация автомобильных дорог, аэродромов и городских путей сообщения;;08.02.12;Строительство и эксплуатация автомобильных дорог, аэродромов и городских путей сообщения;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.13 - Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции;08.02.13 - Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции;;08.02.13;Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;2.08.02.14 - Эксплуатация и обслуживание многоквартирного дома;08.02.14 - Эксплуатация и обслуживание многоквартирного дома;;08.02.14;Эксплуатация и обслуживание многоквартирного дома;
3;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка специалистов среднего звена;;;;08.02.15;Информационное моделирование в строительстве;new
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;ВО;Специалитет;2.08.05.01 - Строительство уникальных зданий и сооружений;08.05.01 - Строительство уникальных зданий и сооружений;;08.05.01;Строительство уникальных зданий и сооружений;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;ВО;Специалитет;2.08.05.02 - Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей;08.05.02 - Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей;;08.05.02;Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей;
2;Инженерное дело, технологии и технические науки;2.09.00.00 - Информатика и вычислительная техника;ВО;Бакалавриат;2.09.03.01 - Информатика и вычислительная техника;09.03.01 - Информатика и вычислительная техника;;09.03.01;Информатика и вычислительная техника;
2;Инженерное дело, технологии и технические науки;2.09.00.00 - Информатика и вычислительная техника;ВО;Бакалавриат;2.09.03.02 - Информационные системы и технологии;09.03.02 - Информационные системы и технологии;;09.03.02;Информационные системы и технологии;
2;Инженерное дело, технологии и технические науки;2.09.00.00 - Информатика и вычислительная техника;ВО;Бакалавриат;2.09.03.03 - Прикладная информатика;09.03.03 - Прикладная информатика;;09.03.03;Прикладная информатика;
2;Инженерное дело, технологии и технические науки;2.09.00.00 - Информатика и вычислительная техника;ВО;Бакалавриат;2.09.03.04 - Программная инженерия;09.03.04 - Программная инженерия;;09.03.04;Программная инженерия;
3;Инженерное дело, технологии и технические науки;2.09.00.00 - Информатика и вычислительная техника;СПО;Подготовка квалифицированных рабочих, служащих;2.09.01.03 - Оператор информационных систем и ресурсов;09.01.03 - Оператор информационных систем и ресурсов;;09.01.03;Оператор информационных систем и ресурсов;
4;Инженерное дело, технологии и технические науки;2.09.00.00 - Информатика и вычислительная техника;СПО;Подготовка квалифицированных рабочих, служащих;2.09.01.04 - Наладчик аппаратных и программных средств инфокоммуникационных систем;09.01.04 - Наладчик аппаратных и программных средств инфокоммуникационных систем;;09.01.04;Наладчик аппаратных и программных средств инфокоммуникационных систем;
5;Инженерное дело, технологии и технические науки;2.09.00.00 - Информатика и вычислительная техника;СПО;Подготовка квалифицированных рабочих, служащих;2.09.01.05 - Оператор технической поддержки;09.01.05 - Оператор технической поддержки;;09.01.05;Оператор технической поддержки;
2;Инженерное дело, технологии и технические науки;2.09.00.00 - Информатика и вычислительная техника;СПО;Подготовка специалистов среднего звена;2.09.02.01 - Компьютерные системы и комплексы;09.02.01 - Компьютерные системы и комплексы;;09.02.01;Компьютерные системы и комплексы;
2;Инженерное дело, технологии и технические науки;2.09.00.00 - Информатика и вычислительная техника;СПО;Подготовка специалистов среднего звена;2.09.02.06 - Сетевое и системное администрирование;09.02.06 - Сетевое и системное администрирование;;09.02.06;Сетевое и системное администрирование;
2;Инженерное дело, технологии и технические науки;2.09.00.00 - Информатика и вычислительная техника;СПО;Подготовка специалистов среднего звена;2.09.02.07 - Информационные системы и программирование;09.02.07 - Информационные системы и программирование;;09.02.07;Информационные системы и программирование;
2;Инженерное дело, технологии и технические науки;2.09.00.00 - Информатика и вычислительная техника;СПО;Подготовка специалистов среднего звена;2.09.02.08 - Интеллектуальные интегрированные системы;09.02.08 - Интеллектуальные интегрированные системы;;09.02.08;Интеллектуальные интегрированные системы;
3;Инженерное дело, технологии и технические науки;2.09.00.00 - Информатика и вычислительная техника;СПО;Подготовка специалистов среднего звена;;;;09.02.09;Веб-разработка;new
2;Инженерное дело, технологии и технические науки;2.09.00.00 - Информатика и вычислительная техника;ВО;Специалитет;2.09.05.01 - Применение и эксплуатация автоматизированных систем специального назначения;09.05.01 - Применение и эксплуатация автоматизированных систем специального назначения;;09.05.01;Применение и эксплуатация автоматизированных систем специального назначения;
2;Инженерное дело, технологии и технические науки;2.10.00.00 - Информационная безопасность;ВО;Бакалавриат;2.10.03.01 - Информационная безопасность;10.03.01 - Информационная безопасность;;10.03.01;Информационная безопасность;
